harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
Rp 442 jt,Bantul,45,105,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2757000000.0,Sleman,36,60,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2505825000.0,Sleman,50,115,2,1,1300,Sebagian,2.0,SHGB - Hak Guna Bangunan
"Rp 1,130929 M",Sleman,100,90,3,4,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 2,525 M",Yogyakarta,162,215,4,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1800000000.0,Sleman,200,451,5,4,3500,Sebagian,2.0,SHM - Sertifikat Hak Milik
"Rp 1,130289 M",Sleman,100,90,4,3,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1150000000.0,Sleman,51,104,2,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
685000090.0,Bantul,62,128,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
200000000.0,Sleman,90,200,3,2,2200,Tak Berperabot,3.0,SHM - Sertifikat Hak Milik
1699425000.0,Sleman,159,108,5,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
438000049.0,Sleman,171,120,5,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2110500000.0,Sleman,75,119,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 575 jt,Sleman,45,100,2,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1992745000.0,Sleman,100,130,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1900000000.0,Sleman,400,220,5,5,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
4800000000.0,Yogyakarta,162,215,4,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
3000000000.0,Sleman,90,113,3,1,1300,Sebagian,2.0,SHM - Sertifikat Hak Milik
4800000000.0,Sleman,350,524,10,7,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2000000000.0,Yogyakarta,600,1300,8,6,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
745000000.0,Sleman,500,1000,7,5,7700,Tak Berperabot,3.0,SHGB - Hak Guna Bangunan
800000000.0,Sleman,36,66,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,36,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
5200000000.0,Bantul,42,63,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
3600000000.0,Sleman,120,156,4,3,2200,Lengkap,2.0,SHM - Sertifikat Hak Milik
367000000.0,Sleman,34,69,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
680000000.0,Sleman,140,214,4,3,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1218000000.0,Sleman,36,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
860000000.0,Bantul,45,80,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1500000000.0,Bantul,65,153,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
297000000.0,Sleman,95,133,4,3,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
357000000.0,Sleman,40,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
390000000.0,Bantul,45,85,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
7500000000.0,Sleman,55,93,3,1,1300,Sebagian,1.0,SHM - Sertifikat Hak Milik
1500000000.0,Bantul,45,83,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4500000000.0,Sleman,40,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
3000000000.0,Sleman,208,204,10,10,16500,Tak Berperabot,6.0,SHM - Sertifikat Hak Milik
"Rp 2,505825 M",Bantul,150,120,4,4,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1200000000.0,Sleman,36,75,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1400000000.0,Sleman,40,72,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
667000000.0,Sleman,300,217,10,10,2200,Sebagian,5.0,SHM - Sertifikat Hak Milik
1900000000.0,Bantul,55,105,2,1,1300,Tak Berperabot,1.0,SHGB - Hak Guna Bangunan
1675000000.0,Sleman,100,112,4,3,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 685,00009 jt",Sleman,75,120,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 200 jt,Sleman,36,77,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
380000000.0,Sleman,95,139,4,3,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
430000000.0,Sleman,95,143,4,3,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
280000000.0,Sleman,36,100,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
760000000.0,Sleman,110,200,4,3,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
3100000000.0,Sleman,36,76,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,126,133,4,4,2200,Tak Berperabot,2.0,SHGB - Hak Guna Bangunan
4500000000.0,Sleman,125,167,4,2,2200,Sebagian,1.0,SHM - Sertifikat Hak Milik
4500000000.0,Sleman,75,124,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4500000000.0,Sleman,370,400,10,4,2200,Lengkap,10.0,SHM - Sertifikat Hak Milik
950000000.0,Sleman,230,154,5,4,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
1900000000.0,Sleman,390,365,7,5,5500,Sebagian,3.0,SHM - Sertifikat Hak Milik
2400000000.0,Sleman,150,147,4,4,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 745 jt,Sleman,100,130,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
624000000.0,Sleman,80,125,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
839000000.0,Sleman,300,825,7,4,4400,Sebagian,2.0,SHM - Sertifikat Hak Milik
1599000000.0,Sleman,288,288,4,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1599000000.0,Sleman,513,223,7,8,4400,Sebagian,4.0,SHM - Sertifikat Hak Milik
"Rp 3,6 M",Sleman,159,204,4,4,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 265 jt,Sleman,36,72,2,1,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 2,9 M",Yogyakarta,165,160,10,10,6600,Lengkap,8.0,SHM - Sertifikat Hak Milik
300000000.0,Bantul,36,95,3,1,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
715000000.0,Sleman,60,103,3,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
715000000.0,Sleman,80,118,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 860 jt,Yogyakarta,65,84,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,5 M",Sleman,100,118,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 297 jt,Bantul,45,84,2,1,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
665000000.0,Sleman,36,99,2,1,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 390 jt,Bantul,39,78,2,1,1300,Tak Berperabot,1.0,SHGB - Hak Guna Bangunan
7000000000.0,Sleman,136,126,4,4,3500,Lengkap,1.0,SHM - Sertifikat Hak Milik
3550000000.0,Sleman,90,129,4,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
440000000.0,Yogyakarta,200,215,7,5,2200,Sebagian,1.0,SHM - Sertifikat Hak Milik
391500000.0,Yogyakarta,600,585,10,10,11000,Tak Berperabot,4.0,SHM - Sertifikat Hak Milik
1600000000.0,Sleman,150,109,4,2,3500,Tak Berperabot,1.0,SHGB - Hak Guna Bangunan
"Rp 4,5 M",Sleman,400,254,7,4,5500,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
715000000.0,Sleman,440,248,10,6,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
8500000000.0,Sleman,100,217,3,2,900,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1900000000.0,Sleman,120,178,4,2,3500,Tak Berperabot,1.0,SHGB - Hak Guna Bangunan
1400000000.0,Bantul,218,109,9,10,3500,Lengkap,1.0,SHM - Sertifikat Hak Milik
Rp 667 jt,Sleman,63,116,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
600000000.0,Bantul,180,115,3,1,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1750000000.0,Sleman,145,121,4,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,36,66,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,88,115,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
300000000.0,Sleman,50,150,2,1,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 430 jt,Bantul,55,82,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
890000000.0,Sleman,36,66,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
